Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Cast Bucket,Required Colors,Hybrid Colors,Archetype Size Min,Archetypes,J2SJosh Rating,Rating Note,Second Half,Second Half Cost,Layout,Scryfall URL,Image URL,Collector Number
"Emrakul, the Exigent Doom","Emrakul, the Exigent Doom",Colorless,C,C,{10},10,Mythic,Legendary Creature — Eldrazi,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137,1
Fatehold Chronologist // Peer Review,Fatehold Chronologist,Multicolor (White/Blue),WU,WU,{1}{W/U},2,Common,Creature — Bird Wizard,Hybrid White/Blue,,WU,1,|White||Blue||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Peer Review,{2}{W/U},prepare,https://scryfall.com/card/fra/133/fatehold-chronologist-peer-review,https://cards.scryfall.io/normal/front/2/9/29e7ec16-0c16-48aa-8e09-ce6e0d5bd40b.jpg?1789060173,133
Ferocity of the Hunt,Ferocity of the Hunt,Multicolor (Black/Green),BG,BG,{1}{B/G},2,Common,Enchantment — Aura,Hybrid Black/Green,,BG,1,|Black||Green||White/Black||White/Green||Blue/Black||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/134/ferocity-of-the-hunt,https://cards.scryfall.io/normal/front/a/9/a9793ce9-5a0b-41fe-b9ad-02f6f7da2481.jpg?1789644856,134
Frostbite Pyromental,Frostbite Pyromental,Multicolor (Blue/Red),UR,UR,{U}{R}{R},3,Rare,Creature — Elemental,Gold Blue/Red,UR,,2,|Blue/Red||White/Blue/Red||Blue/Black/Red||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/135/frostbite-pyromental,https://cards.scryfall.io/normal/front/7/a/7a44581f-8fc4-457d-888a-1e211090ee7e.jpg?1789470870,135
Grim Repriser,Grim Repriser,Multicolor (Black/Red),BR,BR,{B}{R},2,Uncommon,Creature — Zombie Bard,Gold Black/Red,BR,,2,|Black/Red||White/Black/Red||Blue/Black/Red||Black/Red/Green||White/Blue/Black/Red||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/136/grim-repriser,https://cards.scryfall.io/normal/front/8/2/8295c48c-b4dd-4bc1-a206-04cf12b79bbd.jpg?1789470746,136
Ingris Stingerquill,Ingris Stingerquill,Multicolor (Black/Red),BR,BR,{B}{R}{R},3,Mythic,Legendary Creature — Elder Sphinx,Gold Black/Red,BR,,2,|Black/Red||White/Black/Red||Blue/Black/Red||Black/Red/Green||White/Blue/Black/Red||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.5,,,,normal,https://scryfall.com/card/fra/137/ingris-stingerquill,https://cards.scryfall.io/normal/front/6/4/6471b135-33a8-4005-9a07-ebb74e0bf145.jpg?1788878212,137
Konstrari Charm,Konstrari Charm,Multicolor (Red/Green),RG,RG,{R}{G},2,Uncommon,Instant,Gold Red/Green,RG,,2,|Red/Green||White/Red/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/138/konstrari-charm,https://cards.scryfall.io/normal/front/7/d/7d29dfa1-9582-47bc-8f42-62b611bdcc4e.jpg?1789127645,138
Konstrari Improviser // Soul Tether,Konstrari Improviser,Multicolor (Red/Green),RG,RG,{1}{R/G},2,Common,Creature — Human Artificer,Hybrid Red/Green,,RG,1,|Red||Green||White/Red||White/Green||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Soul Tether,{2}{R/G},prepare,https://scryfall.com/card/fra/139/konstrari-improviser-soul-tether,https://cards.scryfall.io/normal/front/4/2/42e28bd2-486b-45d4-8840-6e33c19c2d57.jpg?1789556881,139
Kwia Vigorbloom,Kwia Vigorbloom,Multicolor (White/Green),WG,WG,{3}{G}{W}{W},6,Mythic,Legendary Creature — Elder Sphinx,Gold White/Green,WG,,2,|White/Green||White/Blue/Green||White/Black/Green||White/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,4.5,,,,normal,https://scryfall.com/card/fra/140/kwia-vigorbloom,https://cards.scryfall.io/normal/front/2/d/2d6ff182-a853-4898-895b-072c89324ca7.jpg?1788878236,140
Mind Meanderer,Mind Meanderer,Multicolor (Blue/Green),UG,UG,{3}{G}{U}{U},6,Uncommon,Creature — Bird Fish Illusion,Gold Blue/Green,UG,,2,|Blue/Green||White/Blue/Green||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/141/mind-meanderer,https://cards.scryfall.io/normal/front/9/4/94c290ce-252c-42b3-bcb0-c1ef621df566.jpg?1789470861,141
Null Summoner,Null Summoner,Multicolor (Blue/Black),UB,UB,{2}{U}{B},4,Rare,Creature — Human Warlock,Gold Blue/Black,UB,,2,|Blue/Black||White/Blue/Black||Blue/Black/Red||Blue/Black/Green||White/Blue/Black/Red||White/Blue/Black/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/142/null-summoner,https://cards.scryfall.io/normal/front/3/a/3afdc75a-1bf5-4f2f-84eb-d82f77a095cd.jpg?1789127648,142
Paradox Shaper // Omit Variables,Paradox Shaper,Multicolor (Blue/Black),UB,UB,{1}{U/B},2,Uncommon,Creature — Octopus Wizard,Hybrid Blue/Black,,UB,1,|Blue||Black||White/Blue||White/Black||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Omit Variables,{U/B},prepare,https://scryfall.com/card/fra/143/paradox-shaper-omit-variables,https://cards.scryfall.io/normal/front/e/6/e61b9d48-0ace-4453-afe0-a1024444bac0.jpg?1788329390,143
Primal Witchstalker,Primal Witchstalker,Multicolor (Black/Green),BG,BG,{1}{B}{G},3,Uncommon,Creature — Wolf,Gold Black/Green,BG,,2,|Black/Green||White/Black/Green||Blue/Black/Green||Black/Red/Green||White/Blue/Black/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/144/primal-witchstalker,https://cards.scryfall.io/normal/front/0/4/04e64af7-cca1-499e-8951-f386e84c8b5b.jpg?1789644850,144
Proctor of Potential,Proctor of Potential,Multicolor (White/Blue),WU,WU,{W}{U},2,Rare,Creature — Human Cleric,Gold White/Blue,WU,,2,|White/Blue||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/145/proctor-of-potential,https://cards.scryfall.io/normal/front/c/f/cf0eec8c-0475-4050-8144-481a9bb13a0f.jpg?1789127661,145
Prudent Fateseer // Peer Review,Prudent Fateseer,Multicolor (White/Blue),WU,WU,{1}{W/U}{W/U},3,Uncommon,Creature — Dwarf Wizard,Hybrid White/Blue,,WU,1,|White||Blue||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Peer Review,{2}{W/U},prepare,https://scryfall.com/card/fra/146/prudent-fateseer-peer-review,https://cards.scryfall.io/normal/front/6/c/6c1c790b-9e0e-4964-9ea3-554843907f06.jpg?1788329412,146
Recursive Recruitment,Recursive Recruitment,Multicolor (Blue/Black),UB,UB,{2}{U}{B},4,Uncommon,Sorcery,Gold Blue/Black,UB,,2,|Blue/Black||White/Blue/Black||Blue/Black/Red||Blue/Black/Green||White/Blue/Black/Red||White/Blue/Black/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/147/recursive-recruitment,https://cards.scryfall.io/normal/front/6/8/68fddb6a-86d4-4ebb-907d-fdcaadebc4b3.jpg?1789556898,147
Solarium Sentry,Solarium Sentry,Multicolor (White/Green),WG,WG,{G}{W},2,Rare,Creature — Cat Soldier,Gold White/Green,WG,,2,|White/Green||White/Blue/Green||White/Black/Green||White/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/148/solarium-sentry,https://cards.scryfall.io/normal/front/1/e/1ef12dcf-df50-4da6-8c4c-e2937ba9698e.jpg?1789127651,148
Solitary Cell,Solitary Cell,Multicolor (White/Red),WR,WR,{R}{W},2,Rare,Artifact,Gold White/Red,WR,,2,|White/Red||White/Blue/Red||White/Black/Red||White/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/149/solitary-cell,https://cards.scryfall.io/normal/front/5/1/5142bbb6-194c-4b12-b11a-1a21c9fe81a6.jpg?1788260690,149
Stingerquill Charm,Stingerquill Charm,Multicolor (Black/Red),BR,BR,{B}{R},2,Uncommon,Instant,Gold Black/Red,BR,,2,|Black/Red||White/Black/Red||Blue/Black/Red||Black/Red/Green||White/Blue/Black/Red||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/150/stingerquill-charm,https://cards.scryfall.io/normal/front/8/1/81733ff7-e611-43ee-bf38-6bb700676017.jpg?1789127652,150
Stingerquill Voxmancer // Vicious Verse,Stingerquill Voxmancer,Multicolor (Black/Red),BR,BR,{B/R},1,Uncommon,Creature — Goblin Sorcerer,Hybrid Black/Red,,BR,1,|Black||Red||White/Black||White/Red||Blue/Black||Blue/Red||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Vicious Verse,{B/R},prepare,https://scryfall.com/card/fra/151/stingerquill-voxmancer-vicious-verse,https://cards.scryfall.io/normal/front/8/4/84b1c268-3b8a-41b6-92e3-a2ce0cc3d738.jpg?1788329418,151
Stinging Vitriol,Stinging Vitriol,Multicolor (Black/Red),BR,BR,{B}{R},2,Rare,Sorcery,Gold Black/Red,BR,,2,|Black/Red||White/Black/Red||Blue/Black/Red||Black/Red/Green||White/Blue/Black/Red||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/152/stinging-vitriol,https://cards.scryfall.io/normal/front/a/7/a7d78297-7411-4ec5-8931-a25146869d5b.jpg?1789385971,152
Tam's Resistance,Tam's Resistance,Multicolor (Blue/Green),UG,UG,{1}{G/U},2,Common,Sorcery,Hybrid Blue/Green,,UG,1,|Blue||Green||White/Blue||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/153/tams-resistance,https://cards.scryfall.io/normal/front/b/3/b3d33df2-a77b-4c2e-ba7f-2cc9c1505f9b.jpg?1788878215,153
Tenured Tethermage,Tenured Tethermage,Multicolor (Red/Green),RG,RG,{1}{R}{G},3,Rare,Creature — Human Artificer,Gold Red/Green,RG,,2,|Red/Green||White/Red/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/154/tenured-tethermage,https://cards.scryfall.io/normal/front/1/7/1703306d-6a3d-4ab8-bf58-a9992236ef0f.jpg?1789385792,154
Theorix Charm,Theorix Charm,Multicolor (Blue/Black),UB,UB,{U}{B},2,Uncommon,Instant,Gold Blue/Black,UB,,2,|Blue/Black||White/Blue/Black||Blue/Black/Red||Blue/Black/Green||White/Blue/Black/Red||White/Blue/Black/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/155/theorix-charm,https://cards.scryfall.io/normal/front/2/8/2835c9aa-0904-44db-8da2-e8c4e04201aa.jpg?1789127659,155
Theorix Metamage // Omit Variables,Theorix Metamage,Multicolor (Blue/Black),UB,UB,{2}{U/B},3,Common,Creature — Shade Wizard,Hybrid Blue/Black,,UB,1,|Blue||Black||White/Blue||White/Black||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Omit Variables,{U/B},prepare,https://scryfall.com/card/fra/156/theorix-metamage-omit-variables,https://cards.scryfall.io/normal/front/f/b/fb6bad96-841d-4738-8e62-92f346f914fd.jpg?1789556930,156
Twinned Vision,Twinned Vision,Multicolor (Blue/Red),UR,UR,{1}{U/R},2,Common,Instant,Hybrid Blue/Red,,UR,1,|Blue||Red||White/Blue||White/Red||Blue/Black||Blue/Red||Blue/Green||Black/Red||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/157/twinned-vision,https://cards.scryfall.io/normal/front/5/5/55f85984-0137-4899-8993-bbc8c4794d33.jpg?1789556940,157
Twisted Fates,Twisted Fates,Multicolor (White/Black),WB,WB,{2}{W}{W}{B},5,Uncommon,Sorcery,Gold White/Black,WB,,2,|White/Black||White/Blue/Black||White/Black/Red||White/Black/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/158/twisted-fates,https://cards.scryfall.io/normal/front/c/7/c7c0765d-38fd-4d7b-bfb4-49b10ff5939b.jpg?1789614785,158
Uldaros Theorix,Uldaros Theorix,Multicolor (Blue/Black),UB,UB,{3}{U}{B}{B},6,Mythic,Legendary Creature — Elder Sphinx,Gold Blue/Black,UB,,2,|Blue/Black||White/Blue/Black||Blue/Black/Red||Blue/Black/Green||White/Blue/Black/Red||White/Blue/Black/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.5,,,,normal,https://scryfall.com/card/fra/159/uldaros-theorix,https://cards.scryfall.io/normal/front/a/7/a7ad622a-42ff-48fa-ae95-12e0a5bd9387.jpg?1788878220,159
Vigorbloom Charm,Vigorbloom Charm,Multicolor (White/Green),WG,WG,{G}{W},2,Uncommon,Instant,Gold White/Green,WG,,2,|White/Green||White/Blue/Green||White/Black/Green||White/Red/Green||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/160/vigorbloom-charm,https://cards.scryfall.io/normal/front/2/b/2b198e10-b507-4314-a29c-a219f06e48b7.jpg?1789127656,160
Vigorbloom Vanguard // Seed Suture,Vigorbloom Vanguard,Multicolor (White/Green),WG,WG,{1}{G/W},2,Uncommon,Creature — Troll Druid,Hybrid White/Green,,WG,1,|White||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Green||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Seed Suture,{G/W},prepare,https://scryfall.com/card/fra/161/vigorbloom-vanguard-seed-suture,https://cards.scryfall.io/normal/front/a/c/acefc515-bf97-4dc0-b0f7-ae8ae5a61671.jpg?1788329423,161
Vindictive Triumph,Vindictive Triumph,Multicolor (White/Black),WB,WB,{W}{B}{B},3,Rare,Instant,Gold White/Black,WB,,2,|White/Black||White/Blue/Black||White/Black/Red||White/Black/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/162/vindictive-triumph,https://cards.scryfall.io/normal/front/a/8/a803dbe7-153a-4e92-ad4d-c2babebe003d.jpg?1789127665,162
Warrior's Blades,Warrior's Blades,Multicolor (White/Red),WR,WR,{2}{R}{W},4,Uncommon,Artifact — Equipment,Gold White/Red,WR,,2,|White/Red||White/Blue/Red||White/Black/Red||White/Red/Green||White/Blue/Black/Red||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/163/warriors-blades,https://cards.scryfall.io/normal/front/c/6/c63d5b0e-ee72-42ed-aa7e-484ba84507cd.jpg?1789007648,163
Whiplash Wordsmith // Vicious Verse,Whiplash Wordsmith,Multicolor (Black/Red),BR,BR,{3}{B/R},4,Common,Creature — Vampire Sorcerer,Hybrid Black/Red,,BR,1,|Black||Red||White/Black||White/Red||Blue/Black||Blue/Red||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,Vicious Verse,{B/R},prepare,https://scryfall.com/card/fra/164/whiplash-wordsmith-vicious-verse,https://cards.scryfall.io/normal/front/8/0/8096bc9a-a610-448f-bef2-7230e17e9777.jpg?1789127692,164
Woodwork Prodigy // Soul Tether,Woodwork Prodigy,Multicolor (Red/Green),RG,RG,{2}{R/G},3,Uncommon,Creature — Cat Druid,Hybrid Red/Green,,RG,1,|Red||Green||White/Red||White/Green||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Soul Tether,{2}{R/G},prepare,https://scryfall.com/card/fra/165/woodwork-prodigy-soul-tether,https://cards.scryfall.io/normal/front/7/d/7d17f7e3-7b63-4674-9024-4fd1827f40ec.jpg?1788329429,165
Afterthought Sentry,Afterthought Sentry,Colorless,C,C,{2},2,Common,Artifact Creature — Gargoyle,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/166/afterthought-sentry,https://cards.scryfall.io/normal/front/4/d/4d4b3bf7-a149-4099-b97d-4e36a87dfa60.jpg?1789385875,166
Archive Arbiter,Archive Arbiter,Colorless,C,C,{6},6,Uncommon,Artifact Creature — Sphinx,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/167/archive-arbiter,https://cards.scryfall.io/normal/front/0/2/024bce1e-a5f3-4292-bc17-d0355a5d65e1.jpg?1789614867,167
"Codie, Ravenous Codex","Codie, Ravenous Codex",Colorless,C,WUBRG,{3},3,Rare,Legendary Artifact Creature — Book Construct,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/168/codie-ravenous-codex,https://cards.scryfall.io/normal/front/c/3/c3192390-1518-49fc-8716-f2c7a0384f39.jpg?1789646811,168
The Echoverse Fulcrum,The Echoverse Fulcrum,Colorless,C,C,{2},2,Mythic,Legendary Artifact,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/169/the-echoverse-fulcrum,https://cards.scryfall.io/normal/front/d/7/d71d250f-c0e0-44b2-877c-76f3bcab4f34.jpg?1789385887,169
Eye of Jace,Eye of Jace,Colorless,C,C,{1},1,Uncommon,Artifact,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.0,,,,normal,https://scryfall.com/card/fra/170/eye-of-jace,https://cards.scryfall.io/normal/front/0/e/0edba64a-39cf-4a8d-ba20-4f7da10b6c3d.jpg?1789614864,170
Keeper of the Quiet Hour,Keeper of the Quiet Hour,Colorless,C,C,{3},3,Common,Artifact Creature — Chimera,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/171/keeper-of-the-quiet-hour,https://cards.scryfall.io/normal/front/b/6/b6331218-dbb8-44a9-8ba5-5fb1ab41c5c0.jpg?1788878239,171
Living Library,Living Library,Colorless,C,C,{2},2,Common,Artifact Creature — Book Illusion,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/172/living-library,https://cards.scryfall.io/normal/front/5/d/5d4a8e5f-0024-4da3-a2f5-edb48b12e733.jpg?1789556949,172
Medic's Kitesail,Medic's Kitesail,Colorless,C,C,{2},2,Common,Artifact — Equipment,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/173/medics-kitesail,https://cards.scryfall.io/normal/front/8/b/8b07409a-1dce-461d-95e4-1130521ff4c4.jpg?1789556945,173
