Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
"Yargle, Goliath of Otaria","Yargle, Goliath of Otaria",Blue,U,U,{4}{U},5,Uncommon,Legendary Creature — Frog Spirit,3,9,,normal,,,,1.5,,"I can definitely see the vision of Sir Mix-a-Lot playing a bunch of these. Unless you share his appreciation for rear ends, though, you might be a little less interested.

Did I really make two big-butt jokes in one article? Don’t judge me. The material was right there.

I do love the continuation of Yargle getting completely ridiculous stat lines without any actual abilities. This version isn’t going to be dealing much damage, but it’s also going to be incredibly annoying to kill in combat outside of something with deathtouch.

That makes it a decent roadblock, but not something I’m particularly excited to spend a card on.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,225,https://scryfall.com/card/fra/225/yargle-goliath-of-otaria,https://cards.scryfall.io/normal/front/f/4/f45ba926-6496-4bd4-96eb-663946d56bbf.jpg?1789128043,f45ba926-6496-4bd4-96eb-663946d56bbf
"Yuriko, Hope from the Shadows","Yuriko, Hope from the Shadows",Blue,U,U,{U},1,Uncommon,Legendary Creature — Human Ninja,1,1,,normal,,,,2.0,,"This is one of those cards that reads like it should probably be a 1.0 or 1.5, but I have a feeling it’s going to play better than that.

I love one-mana tricks, and this one even leaves behind a body. The only real ask is that you have some cards in your graveyard, which shouldn’t be too difficult in most games. Even if you don’t, you can still use it to surveil and help set things up while possibly getting some sick triggers.

It’s not flashy, but there’s enough cheap utility packed in here that I think it’ll overperform its first impression.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,226,https://scryfall.com/card/fra/226/yuriko-hope-from-the-shadows,https://cards.scryfall.io/normal/front/4/5/45e81487-8b8c-480b-922a-eaa9edc7201d.jpg?1789127717,45e81487-8b8c-480b-922a-eaa9edc7201d
"Danitha, Spear of Agony","Danitha, Spear of Agony",Black,B,B,{2}{B},3,Uncommon,Legendary Creature — Human Knight,2,2,,normal,,,,2.0,,"You definitely don’t want to be running this if you don’t have enough ways to trigger it. Of course, if your black deck somehow doesn’t have any removal spells, you probably have bigger problems anyway.

The nice part is that instant-speed interaction can do double duty by pumping Danitha at the same time. First strike makes that especially nasty because it can turn combat into a nightmare for your opponent if you’re holding up the right backup.

The floor is pretty mediocre, but there’s enough synergy here that the right deck can make her a real pain to deal with.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,227,https://scryfall.com/card/fra/227/danitha-spear-of-agony,https://cards.scryfall.io/normal/front/6/4/6489814b-3d10-423e-988c-324740d36748.jpg?1789127194,6489814b-3d10-423e-988c-324740d36748
"Gallia, Tragic Host","Gallia, Tragic Host",Black,B,B,{1}{B},2,Uncommon,Legendary Creature — Zombie Satyr,2,1,,normal,,,,3.0,,"We all know Gallia loves to party, and apparently becoming a Zombie isn’t going to change that. She’s already a two-power menace creature for two mana, which is an easy include in basically any aggressive deck.

The party doesn’t end there, though. Gallia can crack open a Red Bull and rally back to the battlefield as long as you have another creature in the graveyard.

Since that ability works from the graveyard, you can even squeeze out some extra value if she gets milled or discarded. That gives an already solid two-drop a nice bit of resilience.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,228,https://scryfall.com/card/fra/228/gallia-tragic-host,https://cards.scryfall.io/normal/front/4/9/498fa810-8522-4020-b773-52ad404c9f65.jpg?1789385697,498fa810-8522-4020-b773-52ad404c9f65
"Garruk, Veiled Butcher","Garruk, Veiled Butcher",Black,B,B,{3}{B}{B},5,Mythic,Legendary Planeswalker — Garruk,,,5,normal,,,,4.5,,"This doesn’t read as overwhelmingly powerful, but Garruk is good in so many different situations that I’m still very high on him.

Giving something -4/-1 might not outright kill many creatures, but it will usually put them on the sidelines for a turn. The sacrifice ability is going to swing wildly depending on your opponent’s board, but turning one of your random dorks into a 4/4 can be a massive upgrade.

Then there’s the occasional Mind Rot mode, which can turn into actual factual card advantage when your opponent doesn’t have two real cards in hand.

None of the abilities look completely busted on their own, but having this many useful options on one card is exactly what makes Garruk so strong in Limited.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,229,https://scryfall.com/card/fra/229/garruk-veiled-butcher,https://cards.scryfall.io/normal/front/d/4/d48bfb8a-d135-45f3-be99-4694b4b9ab93.jpg?1788329269,d48bfb8a-d135-45f3-be99-4694b4b9ab93
Gideon the Oathless,Gideon the Oathless,Black,B,B,{2}{B},3,Rare,Legendary Creature — Human Mercenary,3,3,,normal,,,,2.5,,"Why does Jace have so much beef with all these former planeswalkers? He must really have it out for Gideon considering the guy literally sacrificed himself to save Liliana. Now we’ve got a former hero wandering around bitter and hating on everybody. Sounds like Jace is projecting a bit.

The card itself is a little disappointing considering Gideon’s legacy. Most of the time, you’re getting a 3/3 for three that can chip in for a few extra points over the course of the game.

It’s still a perfectly solid playable, just not nearly as exciting as the name and story make it sound.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,230,https://scryfall.com/card/fra/230/gideon-the-oathless,https://cards.scryfall.io/normal/front/c/9/c985b0d1-25bd-4069-aab7-a566ff27a8f6.jpg?1789127990,c985b0d1-25bd-4069-aab7-a566ff27a8f6
Liliana the Repentant,Liliana the Repentant,Black,B,B,{1}{B},2,Rare,Legendary Creature — Human Warlock,2,2,,normal,,,,3.0,,"This grade can definitely go up if your deck is built around keeping a well-stocked graveyard. The flip side is that drawing Liliana too late can make her considerably less impressive if you’re about to deck yourself.

Six mana is about one more than I really want to pay for a Reanimate spell, even if it does toss another counter onto Lili in the process.

At least you get the bear up front, so you’re not completely out of luck if you decide you don’t want to wait for her to do her necromancer thing.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,231,https://scryfall.com/card/fra/231/liliana-the-repentant,https://cards.scryfall.io/normal/front/1/e/1eb25a6c-d6b4-465d-990e-f1ab86b26b69.jpg?1788329273,1eb25a6c-d6b4-465d-990e-f1ab86b26b69
"Loot, the Anomaly","Loot, the Anomaly",Black,B,B,{2}{B},3,Uncommon,Legendary Creature — Beast Horror,-2,4,,normal,,,,1.5,,"Let me get this straight. Cards named Loot have spent a lot of time being completely busted, and this one shows up as basically a 2/4 for three mana. What happened here?

Once you hit Threshold, it turns into a sacrifice outlet, which at least gives it something to do. Even then, though, you’re only getting two extra power every time you feed something to it.

That’s not nothing, but it’s also nowhere near enough to get me excited. Not my cup of tea.

Side note: You probably don’t want to use combat tricks on Loot very often. Making his power 0 instead of a negative is no bueno.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,232,https://scryfall.com/card/fra/232/loot-the-anomaly,https://cards.scryfall.io/normal/front/4/f/4f6fd2fa-8bc8-4743-bbc8-b56475d64eff.jpg?1789568430,4f6fd2fa-8bc8-4743-bbc8-b56475d64eff
"Mabel, Bitter Recluse","Mabel, Bitter Recluse",Black,B,B,{B},1,Uncommon,Legendary Creature — Mouse Warlock,1,1,,normal,,,,2.0,,"If your deck wants a 1/1 deathtouch for one, then Mabel certainly provides that.

The other ability is much harder to evaluate because it’s going to range from doing absolutely nothing to completely wrecking someone depending on the matchup and board state. That kind of variance makes it tough to give her much credit for it in the baseline grade.

Most of the time, I’m treating this as a cheap deathtoucher with some occasional upside.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,233,https://scryfall.com/card/fra/233/mabel-bitter-recluse,https://cards.scryfall.io/normal/front/b/2/b2a412b0-2ae4-4552-bc5e-70654b6b9b4e.jpg?1789385677,b2a412b0-2ae4-4552-bc5e-70654b6b9b4e
"Massacre Girl, Most Wanted","Massacre Girl, Most Wanted",Black,B,B,{4}{B},5,Uncommon,Legendary Creature — Human Assassin,4,4,,normal,,,,2.5,,"Another legend with multiple busted previous versions showing up as a bit of a disappointment.

This is definitely better off than Loot, but five mana is still five mana, and that slot gets crowded fast. The upside is real enough that I can see this outperforming a lot of the other generic five-drops floating around.

I’m not slamming it early, but I’ll be perfectly happy to play it if my deck can actually take advantage of what it’s doing. That means it’s best home will probably be Rakdos where you can easily grow her while benefiting from all of those noncombat damage triggers.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,234,https://scryfall.com/card/fra/234/massacre-girl-most-wanted,https://cards.scryfall.io/normal/front/9/0/9028d31f-9c41-47e3-885b-6a869bca8178.jpg?1789644882,9028d31f-9c41-47e3-885b-6a869bca8178
"Proft, Sinister Mastermind","Proft, Sinister Mastermind",Black,B,B,{2}{B},3,Uncommon,Legendary Creature — Human Rogue,5,5,,normal,,,,2.0,,"Obviously, a 5/5 menace for three mana is an absurd rate. How you’re supposed to reliably hit threshold fast enough in this format is another question entirely. Dimir and Golgari can probably get it done easily while the other combinations might run into more trouble.

The fallback of discarding Proft to shrink a creature does give you something to do when he’s stuck in your hand, but I’d be much higher on that mode if it could knock off two toughness instead of one.

There’s definitely upside here, but the setup makes me nervous enough that I’m not ready to treat him like the monster his stats suggest.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,235,https://scryfall.com/card/fra/235/proft-sinister-mastermind,https://cards.scryfall.io/normal/front/d/3/d36b0e06-cb82-4c48-bf35-e76f109116f6.jpg?1789127196,d36b0e06-cb82-4c48-bf35-e76f109116f6
"Teyo, Diamondblade Mage","Teyo, Diamondblade Mage",Black,B,B,{3}{B},4,Uncommon,Legendary Creature — Human Warlock,3,1,,normal,,,,2.5,,"This is going to perform a lot better if you have a few first strikers floating around.

The +1/+1 counter can turn what your opponent thought was a fair trade into a complete disaster, and Teyo can also just give himself deathtouch when needed. A 4/2 deathtoucher feels a whole lot more appropriate for the casting cost than the base body does.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,236,https://scryfall.com/card/fra/236/teyo-diamondblade-mage,https://cards.scryfall.io/normal/front/1/0/100c3b67-0c92-4224-b5ed-67789c612df7.jpg?1789470892,100c3b67-0c92-4224-b5ed-67789c612df7
"Tinybones, Pocket Nuisance","Tinybones, Pocket Nuisance",Black,B,B,{2}{B},3,Uncommon,Legendary Creature — Skeleton Rogue,2,1,,normal,,,,2.0,,"How much discard are you realistically going to be playing? It’s not like your opponent is showing up with some dedicated cycling deck either, so that second ability is almost always just going to be one damage when Tinybones enters plus an occasional ping off a landcycler.

That basically leaves you with a Ravenous Rats that costs an extra mana in exchange for an extra point of power.

That’s fine. It’s playable. It’s also pretty obvious this card had Commander in mind long before anyone started worrying about how good it would be in Limited.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,237,https://scryfall.com/card/fra/237/tinybones-pocket-nuisance,https://cards.scryfall.io/normal/front/2/f/2f47ddf7-35b6-4205-8045-f057914c5f64.jpg?1788329294,2f47ddf7-35b6-4205-8045-f057914c5f64
Way of the Deathbringer,Way of the Deathbringer,Black,B,B,{2}{B},3,Uncommon,Legendary Enchantment,,,,normal,,,,1.5,,"I’m not going to stoop quite as low as making Mandalorian references for all of these Way cards. Maybe that is the way.

I certainly don’t mind upgrading a couple of random tokens into 4/4s. The problem is that you need all the pieces in place to make that happen while still having enough Empower Jace available to actually cash in on it.

The payoff is real, but there’s just a little too much setup involved for me to get excited about it.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,238,https://scryfall.com/card/fra/238/way-of-the-deathbringer,https://cards.scryfall.io/normal/front/1/2/12dd46b2-e892-4660-b120-55766fd4d878.jpg?1789729576,12dd46b2-e892-4660-b120-55766fd4d878
Way of the Necromancer,Way of the Necromancer,Black,B,B,{1}{B},2,Uncommon,Legendary Enchantment,,,,normal,,,,1.0,,"You need way too many things to go your way before this generates enough value to be worth the trouble. You need creatures, at least one planeswalker, and this on the battlefield. Then you need those creatures to die while your planeswalker somehow survives through everything.

I’m positive there will eventually be a game where I get absolutely ranched by this because every piece lines up perfectly. There are going to be a lot more games where my opponent plays it, it barely does anything, and they wish it had stayed in the sideboard.

That’s just too many hoops for me to want anything to do with it. This is not the way.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,239,https://scryfall.com/card/fra/239/way-of-the-necromancer,https://cards.scryfall.io/normal/front/a/0/a0ff9689-ea49-4fff-b37c-4abbaeb0f73d.jpg?1789729526,a0ff9689-ea49-4fff-b37c-4abbaeb0f73d
"Winter, Tormented Loner","Winter, Tormented Loner",Black,B,B,{2}{B},3,Uncommon,Legendary Creature — Human Warlock,0,3,,normal,,,,1.5,,"I initially read this as Tormented Loser and had a much darker writeup prepared for it. Loner is a little better, but still not exactly where one wants to be.

Oh yeah, you’re here for card reviews and not my random rambles…

Winter can sacrifice itself if you don’t have anything else lying around, but at that point you’re still paying three mana for an edict effect. That’s just not what I’m looking for.

It does have the potential to get pretty beefy on the front end, but even then it still dies to something as simple as Last Gasp or No Admittance. There’s some upside here, but not enough for me to be especially interested.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,240,https://scryfall.com/card/fra/240/winter-tormented-loner,https://cards.scryfall.io/normal/front/9/6/9670f754-f41f-45ac-8e8b-025ad2c0f66b.jpg?1789127724,9670f754-f41f-45ac-8e8b-025ad2c0f66b
"Yargle, Glutton of Urborg","Yargle, Glutton of Urborg",Black,B,B,{4}{B},5,Uncommon,Legendary Creature — Frog Spirit,9,3,,normal,,,,1.5,,"Good ol’ Yargle showing up after Yargle Day to try to Yargle your opponent in the middle of nowhere.

Honestly, you probably shouldn’t be playing this card very often, and it’s definitely closer to a 1.0 than a 2.0. It’s a big pile of stats, but for five mana it dies to almost anything and gives you absolutely no extra value when it does.",Black,https://mtgazone.com/reality-fracture-fra-limited-set-review-black/,241,https://scryfall.com/card/fra/241/yargle-glutton-of-urborg,https://cards.scryfall.io/normal/front/0/4/04c816fb-5951-4db1-8834-ed3f0b36bfe1.jpg?1789127722,04c816fb-5951-4db1-8834-ed3f0b36bfe1
Ajani Unrelenting,Ajani Unrelenting,Red,R,R,{4}{R}{R},6,Mythic,Legendary Planeswalker — Ajani,,,5,normal,,,,5.0,,"Yes, I am well aware that this costs six mana. I am also aware that it is completely busted in half.

No matter which option you choose, you get a 2/2 thrown in for free. Those 2/2s come from other planeswalkers as well since the card doesn’t actually specify Ajani so usign your Empowered Jace token gives you a dude too.

Pumping your entire team, making a dude, and giving them haste is absurd. Drawing a pile of cards while making a dude is absurd. Oh, and just in case those weren’t enough, Ajani also comes with a built-in board wipe that conveniently leaves your token creatures alone including the one it makes.

You really can’t ask for much more out of a Limited card before R&D has to come in and confiscate it.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,242,https://scryfall.com/card/fra/242/ajani-unrelenting,https://cards.scryfall.io/normal/front/b/c/bc3c096f-7f6c-474c-a2c8-75d3e6ddd6f5.jpg?1788329317,bc3c096f-7f6c-474c-a2c8-75d3e6ddd6f5
"Arni, Renowned Champion","Arni, Renowned Champion",Red,R,R,{3}{R},4,Uncommon,Legendary Creature — Human Berserker,1,5,,normal,,,,2.0,,"I feel like this could be really good at three mana, but four pushes it firmly into “depends on the deck” territory.

There are going to be builds where Arni does some serious work because you have enough large creatures to make the ability matter. There are also going to be plenty of decks that want absolutely nothing to do with him because they simply don’t have enough beef lying around.

The upside is real, but you need the right roster before this Champion actually feels renowned.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,243,https://scryfall.com/card/fra/243/arni-renowned-champion,https://cards.scryfall.io/normal/front/b/d/bd8db649-1dba-457d-8327-e1f1da1aab36.jpg?1789557035,bd8db649-1dba-457d-8327-e1f1da1aab36
"Chandra, Torch of Defiance","Chandra, Torch of Defiance",Red,R,R,{2}{R}{R},4,Mythic,Legendary Planeswalker — Chandra,,,4,normal,,,,4.5,,"I know what you’re thinking. Josh has finally lost his marbles, or someone at the old folks’ home forgot to bring him his meds.

We already know how good this card is. Chandra has been around for years, and she’s been completely ridiculous for most of that time. So by now you’re probably wondering why she didn’t get the full 5.0.

Here’s the thing: a 5.0 is relative to the set it’s in.

Chandra can either generate card advantage or protect herself. The Theorist, Jace Beleren and Ajani Unrelenting can do both at the same time, which puts them on another level.

I’m not saying I’m passing Chandra. Outside of some truly absurd double-mythic pack, I’m slamming her every single time.

I’m just saying that, somehow, Reality Fracture managed to print some planeswalkers that make Chandra, Torch of Defiance look merely excellent.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,244,https://scryfall.com/card/fra/244/chandra-torch-of-defiance,https://cards.scryfall.io/normal/front/4/0/40cb22c8-cb03-45c9-bb0e-b8cabdcc43cd.jpg?1788329325,40cb22c8-cb03-45c9-bb0e-b8cabdcc43cd
"Gallia, the Merrymaker","Gallia, the Merrymaker",Red,R,R,{1}{R},2,Uncommon,Legendary Creature — Satyr,2,1,,normal,,,,2.5,,"Ain’t no party like a Gallia party, cuz a Gallia party don’t stop.

Gallia makes sure every new attendee downs a couple of Red Bulls on the way in, pumps up the jams, and heads straight into the red zone. It does cost a couple of extra mana to hand out that boost, but Gallia is already a perfectly serviceable two-drop before she starts adding some late-game value.

That’s exactly the kind of flexibility I like out of an aggressive card.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,245,https://scryfall.com/card/fra/245/gallia-the-merrymaker,https://cards.scryfall.io/normal/front/f/2/f27d50f0-d76e-4ce1-a8d9-d997af6a5b41.jpg?1789385716,f27d50f0-d76e-4ce1-a8d9-d997af6a5b41
"Jiang Yanggu, Alone","Jiang Yanggu, Alone",Red,R,R,{4}{R},5,Uncommon,Legendary Creature — Human Berserker,4,4,,normal,,,,1.5,,"I assume we’re all just calling this guy John Wick. Something clearly happened to his dog, and now half the multiverse is about to find out why that was a terrible idea.

As a card, there’s some potential here, but it’s a little too pricey for my liking. You can only fit so many five-drops into a Limited deck, and most of the ones competing for that slot are going to be doing something more impactful than this dude.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,246,https://scryfall.com/card/fra/246/jiang-yanggu-alone,https://cards.scryfall.io/normal/front/e/8/e8c1ce21-b77d-40bf-9ed1-478604e71f5f.jpg?1789014416,e8c1ce21-b77d-40bf-9ed1-478604e71f5f
Kiora of Fire and Ashes,Kiora of Fire and Ashes,Red,R,R,{4}{R}{R},6,Uncommon,Legendary Creature — Merfolk Noble,2,2,,normal,,,,4.0,,"This is a wonderful example of just how much power creep has changed Limited over the years.

Back in my day, a 5/5 flyer for six mana was a certified bomb. You opened that thing, slammed it on the table, and started mentally filling out your Top 8 paperwork. Now they staple a 2/2 onto it and we’re supposed to say, “Yeah, seems pretty good.”.

You can even bounce the 2/2 and replay it to make another Dragon. And that’s before we get into the mana sink that lets you start cranking out even more big ol’ Dragons.

This is still a great uncommon, but it’s not quite the ridiculous bomb it would have been back in my day when we rode dinosaurs to school and a Shivan Dragon was considered a legitimate threat.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,247,https://scryfall.com/card/fra/247/kiora-of-fire-and-ashes,https://cards.scryfall.io/normal/front/0/8/08657053-86f9-4c52-abf0-d9cdd443ae3b.jpg?1789127995,08657053-86f9-4c52-abf0-d9cdd443ae3b
"Koth, the Geomancer","Koth, the Geomancer",Red,R,R,{2}{R},3,Uncommon,Legendary Creature — Human Warrior,3,2,,normal,,,,2.5,,"This can be really nice when you play it on curve, untap, drop a Mountain, and jump straight into a five-drop. That’s the kind of start that can put you comfortably ahead without doing anything especially fancy.

It can also give you some much-needed reach if you’re struggling to drag yourself across the finish line.

The problem is that Koth is a little too fragile for me to go much higher. There’s definitely value here, but I don’t love investing too much into something that can get knocked over by a stiff breeze.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,248,https://scryfall.com/card/fra/248/koth-the-geomancer,https://cards.scryfall.io/normal/front/5/4/54f64e95-5a97-4d7c-9939-7f33a3165562.jpg?1789470892,54f64e95-5a97-4d7c-9939-7f33a3165562
"Marwyn, the Clearcutter","Marwyn, the Clearcutter",Red,R,R,{R},1,Uncommon,Legendary Creature — Elf Warrior,2,1,,normal,,,,3.0,,"Savannah Lions certainly aren’t what they used to be, but they’re still a perfectly nice way to kick off a game—especially when they don’t become completely useless later.

Marwyn lets you cash in extra artifacts or lands for fresh cards once they’ve outlived their usefulness. That gives an already efficient one-drop a surprising amount of staying power.

That’s a whole lot of utility packed into something this cheap.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,249,https://scryfall.com/card/fra/249/marwyn-the-clearcutter,https://cards.scryfall.io/normal/front/f/9/f93da73c-ca8b-438e-8387-6109dac3fc1a.jpg?1789644549,f93da73c-ca8b-438e-8387-6109dac3fc1a
"Pia, Determined Rebuilder","Pia, Determined Rebuilder",Red,R,R,{2}{R},3,Uncommon,Legendary Creature — Human Artificer,2,2,,normal,,,,2.5,,"While I usually prefer my Preening Champions to have the 2/2 portion flying, I can still work with what Pia is building here.

The six-mana ability is dangerously close to being a nothing burger, but I’m sure there will be games where simply threatening the activation makes combat awkward enough to matter.

The body and extra piece are doing most of the heavy lifting, though. The ability is more of a bonus than a reason to draft her.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,250,https://scryfall.com/card/fra/250/pia-determined-rebuilder,https://cards.scryfall.io/normal/front/d/d/dd3faaf4-45ca-4714-8dbe-37102ec131cf.jpg?1789385851,dd3faaf4-45ca-4714-8dbe-37102ec131cf
"Samut, Hazoret's Champion","Samut, Hazoret's Champion",Red,R,R,{1}{R},2,Rare,Legendary Creature — Human Warrior Cleric,2,2,,normal,,,,3.0,,"This is another one where people may question how high I am on it, but giving everything haste is a legitimately game-changing effect.

The best part is that you’re not even going down a card to get it because the ability is stapled onto a perfectly serviceable Grizzly Bears. That means you can develop your board while turning every creature you draw afterward into an immediate threat.

That’s exactly the kind of nonsense I want in an aggressive creature deck.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,251,https://scryfall.com/card/fra/251/samut-hazorets-champion,https://cards.scryfall.io/normal/front/b/a/ba920f23-f05c-410e-8516-c93abedf1d4d.jpg?1789729662,ba920f23-f05c-410e-8516-c93abedf1d4d
"Tetsuko Umezawa, Pursuer","Tetsuko Umezawa, Pursuer",Red,R,R,{3}{R},4,Uncommon,Legendary Creature — Human Mercenary,2,4,,normal,,,,2.5,,"The random pings are actually pretty relevant because they punish your opponent when they inevitably start chump blocking this thing.

A double striker with prowess is already a very real threat, and once you start stacking a couple of triggers on it, Tetsuko can hit them like an RKO out of nowhere.

It’s the kind of card that looks manageable right up until combat math suddenly turns into a complete disaster. The only reason its not higher is that it dies to removal with no extra value.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,252,https://scryfall.com/card/fra/252/tetsuko-umezawa-pursuer,https://cards.scryfall.io/normal/front/d/f/df818900-ce5e-4b0d-a927-c975cbef7eda.jpg?1789128002,df818900-ce5e-4b0d-a927-c975cbef7eda
"Tomik, Izzet Sparkmage","Tomik, Izzet Sparkmage",Red,R,R,{1}{R},2,Uncommon,Legendary Creature — Human Wizard,1,2,,normal,,,,1.5,,"This feels much more like a low-end Constructed engine than something I’m especially excited about in Limited.

You can definitely bump the grade if your deck has a bunch of ways to randomly ping your opponent and keep the triggers flowing which is conveniently the plan for Rakdos. The prowess helps too, but the base body leaves quite a bit to be desired.

There’s a deck where this can do some real work. I’m just not convinced the average draft deck is going to be that deck.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,253,https://scryfall.com/card/fra/253/tomik-izzet-sparkmage,https://cards.scryfall.io/normal/front/5/c/5c5afd5f-6f37-4c3e-83f0-68fdcea98810.jpg?1789729773,5c5afd5f-6f37-4c3e-83f0-68fdcea98810
Way of the Pyromancer,Way of the Pyromancer,Red,R,R,{1}{R},2,Uncommon,Legendary Enchantment,,,,normal,,,,1.0,,"Must resist cheap Mandalorian references…well, for now. I’m 100% doing them when we hit green, but at least I’ll have the excuse of Grogu flavor when we get there.

Oh yeah, the actual card. To quote Mr. Horse: “No sir, I don’t like it.”

You only get to Empower Jace for two, which means this doesn’t even replace itself, and the ability you get for all that trouble is pretty mediocre. If I’m spending a card on one of these Way enchantments, I need a much better payoff than this.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,254,https://scryfall.com/card/fra/254/way-of-the-pyromancer,https://cards.scryfall.io/normal/front/c/1/c1a00020-7c14-4503-a057-5763704bb83e.jpg?1788878311,c1a00020-7c14-4503-a057-5763704bb83e
Way of the Warlord,Way of the Warlord,Red,R,R,{2}{R},3,Uncommon,Legendary Enchantment,,,,normal,,,,2.5,,"On its own, this can come down, pop a creature and your opponent for two damage each, and still leave you with a surveil afterward. That’s a pretty solid pile of value.

The problem is that there’s a huge difference between dealing two damage and three, especially when this also costs one more mana than No Admittance.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,255,https://scryfall.com/card/fra/255/way-of-the-warlord,https://cards.scryfall.io/normal/front/6/d/6d86e410-20c4-4248-96bf-5780ece6274a.jpg?1789729585,6d86e410-20c4-4248-96bf-5780ece6274a
"Winter, Team Player","Winter, Team Player",Red,R,R,{4}{R},5,Uncommon,Legendary Creature — Human Warrior,3,3,,normal,,,,1.5,,"Unlike Game of Thrones, Winter is not coming—at least not to my draft deck. He can play for a team, just not mine.

Terrible jokes aside, this feels like it would be a perfectly serviceable card at three mana even without convoke. The problem is that the actual payoff wants you to go wide while playing a healthy number of noncreature spells.

Those two plans don’t exactly hold hands and skip through the meadow together. I’m sure there’s a deck where everything lines up, but I’m not interested in doing that much roster construction to make an otherwise mediocre card work.",Red,https://mtgazone.com/reality-fracture-fra-limited-set-review-red/,256,https://scryfall.com/card/fra/256/winter-team-player,https://cards.scryfall.io/normal/front/d/f/df8713cd-3f4b-43ef-adbd-e37c2617c617.jpg?1789128020,df8713cd-3f4b-43ef-adbd-e37c2617c617
"Edgar, Moonlit Sovereign","Edgar, Moonlit Sovereign",Green,G,G,{3}{G}{G},5,Uncommon,Legendary Creature — Werewolf Noble,4,4,,normal,,,,3.0,,"Apparently, Edgar switched from Team Edward to Team Jacob. I could keep going with the Twilight jokes, but my wife reads these and it’s not worth the debate when I know which team she is on.

I’m a sucker for big creatures with flash because they give you a real chance to ambush an unsuspecting attacker and completely blow-up combat. That alone pushes Edgar above the usual pile of interchangeable five-drops for me.

Mana sinks aren’t as exciting as they used to be, but this one at least gives you something productive to do if you passed the turn without casting a spell. Getting to grow Edgar instead of completely wasting the mana is a nice fallback.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,257,https://scryfall.com/card/fra/257/edgar-moonlit-sovereign,https://cards.scryfall.io/normal/front/d/a/dad6afc9-8505-4cdd-bf79-e9ba4670f2bb.jpg?1789127966,dad6afc9-8505-4cdd-bf79-e9ba4670f2bb
"Fblthp, Knows the Way","Fblthp, Knows the Way",Green,G,G,{X}{G}{G},2,Uncommon,Legendary Creature — Homunculus Scout,*,2,,normal,,,,2.5,,"I’ll start by saying that I’m genuinely happy for Fblthp. After all these years, the little guy finally knows where he’s going. Easily the best change Jace made to reality.

This is going to be at its best in heavy-green multicolor nonsense decks where you’re trying to grab a pile of different basics and splash whatever shiny cards caught your eye during the draft.

If you’re just playing a normal two-color deck, though, you’re probably topping out at finding one of each basic type you need, which is a whole lot less exciting.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,258,https://scryfall.com/card/fra/258/fblthp-knows-the-way,https://cards.scryfall.io/normal/front/2/8/28fbb55a-5c9d-45ee-bf42-a84b1048f5d2.jpg?1789127976,28fbb55a-5c9d-45ee-bf42-a84b1048f5d2
